Z, A, Symbol, mass, mass_unc, estimated_flag
 84, 211, Po, 210.9866530850, 1.347000e-06,  
 85, 211, At, 210.9874961470, 2.929000e-06,  
 86, 211, Rn, 210.9906006860, 7.314000e-06,  
 87, 211, Fr, 210.9955552590, 1.287200e-05,  
 88, 211, Ra, 211.0008932130, 8.500000e-06,  
 89, 211, Ac, 211.0077318940, 5.687100e-05,  
 90, 211, Th, 211.0149331830, 7.837900e-05,  
 91, 211, Pa, 211.0237040000, 1.100000e-04, #
 80, 212, Hg, 212.0029600000, 3.200000e-04, #
 81, 212, Tl, 211.9983350000, 2.150000e-04, #
 82, 212, Pb, 211.9918959750, 1.977000e-06,  
 83, 212, Bi, 211.9912850160, 1.989000e-06,  
 84, 212, Po, 211.9888678960, 1.236000e-06,  
 85, 212, At, 211.9907372230, 2.559000e-06,  
 86, 212, Rn, 211.9907035280, 3.376000e-06,  
 87, 212, Fr, 211.9962254530, 9.420000e-06,  
 88, 212, Ra, 211.9997863990, 1.209100e-05,  
 89, 212, Ac, 212.0078125010, 5.516000e-05,  
 90, 212, Th, 212.0130014870, 1.085200e-05,  
 91, 212, Pa, 212.0231814250, 8.036700e-05,  
 80, 213, Hg, 213.0082300000, 3.200000e-04, #
 81, 213, Tl, 213.0019150000, 2.900000e-05,  
 82, 213, Pb, 212.9965608670, 7.465000e-06,  
 83, 213, Bi, 212.9943836080, 5.456000e-06,  
 84, 213, Po, 212.9928570830, 3.277000e-06,  
 85, 213, At, 212.9929365140, 5.257000e-06,  
 86, 213, Rn, 212.9938850640, 3.617000e-06,  
 87, 213, Fr, 212.9961858610, 5.465000e-06,  
 88, 213, Ra, 213.0003709700, 1.054000e-05,  
 89, 213, Ac, 213.0066073330, 1.639500e-05,  
 90, 213, Th, 213.0130114470, 9.895000e-06,  
 91, 213, Pa, 213.0211086970, 7.637400e-05,  
 80, 214, Hg, 214.0120000000, 4.300000e-04, #
 81, 214, Tl, 214.0069400000, 2.100000e-04, #
 82, 214, Pb, 213.9998037880, 2.120000e-06,  
 83, 214, Bi, 213.9987109380, 1.203300e-05,  
 84, 214, Po, 213.9952012080, 1.555000e-06,  
 85, 214, At, 213.9963716010, 4.614000e-06,  
 86, 214, Rn, 213.9953625660, 9.862000e-06,  
 87, 214, Fr, 213.9989707850, 9.268000e-06,  
 88, 214, Ra, 214.0000995540, 5.636000e-06,  
 89, 214, Ac, 214.0069177620, 1.648900e-05,  
 90, 214, Th, 214.0114814310, 1.144500e-05,  
 91, 214, Pa, 214.0209185610, 8.172300e-05,  
 80, 215, Hg, 215.0174000000, 4.300000e-04, #
 81, 215, Tl, 215.0106400000, 3.200000e-04, #
 82, 215, Pb, 215.0046615900, 5.630400e-05,  
 83, 215, Bi, 215.0017491490, 6.037000e-06,  
 84, 215, Po, 214.9994184540, 2.276000e-06,  
 85, 215, At, 214.9986518900, 7.299000e-06,  
 86, 215, Rn, 214.9987454980, 8.236000e-06,  
 87, 215, Fr, 215.0003414560, 7.585000e-06,  
